 I0 , I1 1
 I0 , I2 3
 I0 , I3 5
 I0 , I4 3
 I0 , I5 5
 I0 , I6 4
 I0 , I7 4
 I0 , I8 5
 I0 , I9 8
 I0 , I10 4
 I0 , I11 6
 I0 , I12 6
 I0 , I13 2
 I0 , I14 2
 I0 , I15 2
 I0 , I16 2
 I0 , I17 3
 I0 , I18 4
 I0 , I19 5
 I1 , I2 0
 I1 , I3 1
 I1 , I4 0
 I1 , I5 1
 I1 , I6 1
 I1 , I7 1
 I1 , I8 1
 I1 , I9 0
 I1 , I10 0
 I1 , I11 1
 I1 , I12 1
 I1 , I13 0
 I1 , I14 0
 I1 , I15 0
 I1 , I16 0
 I1 , I17 1
 I1 , I18 0
 I1 , I19 1
 I2 , I3 3
 I2 , I4 2
 I2 , I5 2
 I2 , I6 2
 I2 , I7 2
 I2 , I8 3
 I2 , I9 3
 I2 , I10 2
 I2 , I11 1
 I2 , I12 3
 I2 , I13 1
 I2 , I14 0
 I2 , I15 1
 I2 , I16 1
 I2 , I17 1
 I2 , I18 1
 I2 , I19 2
 I3 , I4 2
 I3 , I5 4
 I3 , I6 4
 I3 , I7 4
 I3 , I8 4
 I3 , I9 4
 I3 , I10 3
 I3 , I11 3
 I3 , I12 4
 I3 , I13 1
 I3 , I14 1
 I3 , I15 1
 I3 , I16 1
 I3 , I17 2
 I3 , I18 1
 I3 , I19 3
 I4 , I5 1
 I4 , I6 1
 I4 , I7 2
 I4 , I8 2
 I4 , I9 3
 I4 , I10 2
 I4 , I11 1
 I4 , I12 2
 I4 , I13 2
 I4 , I14 1
 I4 , I15 1
 I4 , I16 1
 I4 , I17 2
 I4 , I18 1
 I4 , I19 1
 I5 , I6 4
 I5 , I7 3
 I5 , I8 3
 I5 , I9 3
 I5 , I10 2
 I5 , I11 3
 I5 , I12 4
 I5 , I13 1
 I5 , I14 1
 I5 , I15 1
 I5 , I16 1
 I5 , I17 2
 I5 , I18 1
 I5 , I19 3
 I6 , I7 3
 I6 , I8 3
 I6 , I9 3
 I6 , I10 2
 I6 , I11 3
 I6 , I12 3
 I6 , I13 1
 I6 , I14 1
 I6 , I15 0
 I6 , I16 1
 I6 , I17 2
 I6 , I18 1
 I6 , I19 2
 I7 , I8 3
 I7 , I9 3
 I7 , I10 3
 I7 , I11 2
 I7 , I12 3
 I7 , I13 1
 I7 , I14 1
 I7 , I15 1
 I7 , I16 1
 I7 , I17 2
 I7 , I18 0
 I7 , I19 2
 I8 , I9 4
 I8 , I10 2
 I8 , I11 2
 I8 , I12 5
 I8 , I13 1
 I8 , I14 0
 I8 , I15 1
 I8 , I16 1
 I8 , I17 2
 I8 , I18 2
 I8 , I19 3
 I9 , I10 4
 I9 , I11 5
 I9 , I12 4
 I9 , I13 2
 I9 , I14 2
 I9 , I15 1
 I9 , I16 2
 I9 , I17 2
 I9 , I18 4
 I9 , I19 3
 I10 , I11 2
 I10 , I12 2
 I10 , I13 1
 I10 , I14 1
 I10 , I15 1
 I10 , I16 1
 I10 , I17 1
 I10 , I18 1
 I10 , I19 1
 I11 , I12 2
 I11 , I13 1
 I11 , I14 2
 I11 , I15 0
 I11 , I16 1
 I11 , I17 2
 I11 , I18 3
 I11 , I19 3
 I12 , I13 1
 I12 , I14 0
 I12 , I15 2
 I12 , I16 1
 I12 , I17 2
 I12 , I18 2
 I12 , I19 4
 I13 , I14 1
 I13 , I15 0
 I13 , I16 1
 I13 , I17 2
 I13 , I18 1
 I13 , I19 0
 I14 , I15 0
 I14 , I16 0
 I14 , I17 1
 I14 , I18 1
 I14 , I19 0
 I15 , I16 0
 I15 , I17 0
 I15 , I18 0
 I15 , I19 2
 I16 , I17 1
 I16 , I18 0
 I16 , I19 1
 I17 , I18 1
 I17 , I19 1
 I18 , I19 1
